State,District,Caste_Category,Religion,Literacy_Rate,Avg_Income_INR,Gender_Ratio,Occupation,Population
Maharashtra,Nagpur,SC,Hindu,64.97,32926,1.01,Service,6557
Maharashtra,Mumbai,SC,Hindu,75.23,31487,0.93,Daily Wage,14165
Tamil Nadu,Coimbatore,ST,Hindu,75.79,46511,0.9,Daily Wage,2260
Bihar,Gaya,OBC,Hindu,75.43,28048,0.9,Business,7438
Maharashtra,Pune,General,Sikh,72.42,16300,0.78,Service,7794
Rajasthan,Jaipur,OBC,Muslim,64.38,19807,0.98,Business,13911
Rajasthan,Ajmer,ST,Hindu,50.92,13815,1.1,Agriculture,12379
Tamil Nadu,Coimbatore,ST,Hindu,57.74,36012,0.81,Business,8857
Tamil Nadu,Chennai,OBC,Hindu,64.56,36663,0.83,Business,2940
Uttar Pradesh,Varanasi,OBC,Hindu,73.76,25990,0.92,Unemployed,2318
Tamil Nadu,Chennai,ST,Hindu,53.98,62784,0.95,Service,8863
Bihar,Bhagalpur,SC,Hindu,49.42,47338,0.83,Service,5455
Tamil Nadu,Coimbatore,OBC,Hindu,72.09,10000,0.82,Unemployed,8567
Maharashtra,Mumbai,OBC,Hindu,71.97,46076,0.97,Unemployed,2245
Tamil Nadu,Coimbatore,SC,Hindu,58.84,30483,0.8,Daily Wage,1518
Bihar,Bhagalpur,OBC,Hindu,62.8,28090,1.06,Unemployed,12135
Tamil Nadu,Madurai,General,Muslim,73.44,18554,0.98,Daily Wage,12726
Bihar,Bhagalpur,General,Hindu,66.15,34846,1.01,Service,5611
Tamil Nadu,Chennai,SC,Hindu,70.31,48969,0.87,Business,4866
Bihar,Gaya,OBC,Hindu,66.91,39968,1.05,Agriculture,3671
Bihar,Patna,SC,Hindu,55.21,32215,0.84,Service,1387
Rajasthan,Udaipur,SC,Hindu,48.04,47187,1.09,Business,6668
Bihar,Gaya,OBC,Hindu,69.28,50052,0.99,Business,13720
Bihar,Gaya,OBC,Christian,63.55,40420,1.1,Unemployed,14568
Tamil Nadu,Chennai,General,Christian,69.64,68469,0.7,Agriculture,9282
Rajasthan,Ajmer,ST,Hindu,68.22,36305,0.92,Agriculture,8051
Maharashtra,Nagpur,OBC,Hindu,70.92,10000,0.93,Business,7609
Maharashtra,Mumbai,OBC,Hindu,73.57,57168,0.9,Agriculture,7915
Rajasthan,Ajmer,General,Muslim,61.92,37473,1.04,Daily Wage,1869
Uttar Pradesh,Kanpur,SC,Hindu,63.29,27053,1.0,Agriculture,14872
Tamil Nadu,Coimbatore,General,Hindu,70.97,59529,0.88,Business,3507
Maharashtra,Pune,SC,Hindu,56.72,29118,0.8,Service,13644
Bihar,Bhagalpur,General,Hindu,72.96,48915,0.95,Unemployed,842
Bihar,Bhagalpur,General,Hindu,67.65,23769,0.91,Unemployed,8802
Bihar,Patna,OBC,Hindu,66.57,22965,0.93,Agriculture,10601
Maharashtra,Nagpur,SC,Hindu,64.04,63292,0.97,Business,3838
Tamil Nadu,Madurai,OBC,Muslim,72.58,33883,0.76,Service,9543
Tamil Nadu,Madurai,ST,Hindu,59.73,35903,1.2,Agriculture,12558
Maharashtra,Nagpur,OBC,Hindu,68.08,39523,0.95,Service,14774
Bihar,Patna,ST,Hindu,48.31,52142,1.03,Service,3671
Uttar Pradesh,Varanasi,ST,Hindu,67.91,21359,1.09,Daily Wage,8149
Bihar,Gaya,General,Muslim,55.98,53802,1.17,Service,2681
Rajasthan,Jaipur,SC,Hindu,50.09,26505,0.96,Daily Wage,14706
Uttar Pradesh,Kanpur,OBC,Hindu,64.97,11740,0.96,Business,5334
Uttar Pradesh,Kanpur,SC,Hindu,49.38,42103,0.86,Daily Wage,2008
Rajasthan,Ajmer,OBC,Hindu,85.5,23251,0.92,Daily Wage,8975
Tamil Nadu,Coimbatore,General,Hindu,78.14,26537,0.97,Business,3300
Uttar Pradesh,Varanasi,SC,Hindu,73.07,10887,0.97,Agriculture,9016
Uttar Pradesh,Kanpur,General,Hindu,72.6,56727,0.83,Business,12785
Bihar,Gaya,SC,Christian,46.8,42829,0.98,Agriculture,12275
Tamil Nadu,Madurai,General,Hindu,72.5,50196,0.88,Business,5642
Rajasthan,Ajmer,SC,Hindu,62.32,39396,0.88,Daily Wage,588
Uttar Pradesh,Lucknow,ST,Hindu,78.66,42107,0.83,Business,9399
Bihar,Bhagalpur,OBC,Muslim,76.57,20379,1.03,Agriculture,7082
Uttar Pradesh,Kanpur,General,Muslim,81.59,32689,1.05,Service,8602
Uttar Pradesh,Lucknow,General,Hindu,74.13,57330,1.14,Daily Wage,12559
Uttar Pradesh,Kanpur,General,Hindu,67.55,33693,0.86,Agriculture,7957
Uttar Pradesh,Varanasi,SC,Muslim,51.84,33843,0.98,Unemployed,11554
Rajasthan,Udaipur,ST,Christian,62.77,47407,0.95,Daily Wage,6469
Maharashtra,Pune,OBC,Muslim,84.54,31030,1.2,Daily Wage,1537
Maharashtra,Pune,SC,Muslim,66.26,22142,0.84,Agriculture,2516
Uttar Pradesh,Varanasi,OBC,Hindu,74.82,31648,1.02,Service,12204
Uttar Pradesh,Lucknow,General,Muslim,74.73,43907,0.87,Agriculture,3954
Maharashtra,Pune,OBC,Hindu,54.85,28302,1.04,Daily Wage,3647
Tamil Nadu,Madurai,SC,Hindu,62.14,16313,0.97,Business,4622
Maharashtra,Mumbai,General,Hindu,73.85,31742,0.97,Unemployed,14300
Rajasthan,Udaipur,General,Hindu,70.58,27855,0.99,Unemployed,6799
Tamil Nadu,Chennai,ST,Hindu,65.61,51245,1.06,Daily Wage,8708
Maharashtra,Pune,OBC,Hindu,56.22,20932,1.0,Unemployed,5077
Tamil Nadu,Chennai,SC,Hindu,65.14,42725,1.2,Service,4284
Rajasthan,Ajmer,OBC,Christian,75.71,52033,1.05,Daily Wage,2339
Rajasthan,Udaipur,General,Hindu,76.51,40270,1.03,Agriculture,9368
Maharashtra,Nagpur,SC,Hindu,52.27,31447,0.9,Business,5864
Tamil Nadu,Chennai,SC,Muslim,60.82,69719,0.76,Agriculture,2054
Bihar,Gaya,ST,Hindu,66.86,10809,0.9,Daily Wage,507
Maharashtra,Nagpur,OBC,Hindu,80.89,35964,0.84,Daily Wage,10681
Tamil Nadu,Madurai,OBC,Hindu,62.85,45193,0.88,Business,3408
Bihar,Patna,OBC,Hindu,72.16,35683,0.88,Business,6659
Rajasthan,Udaipur,General,Hindu,91.44,54508,0.75,Daily Wage,14514
Rajasthan,Udaipur,OBC,Hindu,71.86,25073,1.04,Service,6306
Uttar Pradesh,Lucknow,OBC,Hindu,62.07,33278,1.0,Service,5528
Maharashtra,Mumbai,General,Hindu,78.66,26995,0.92,Daily Wage,12916
Tamil Nadu,Chennai,OBC,Muslim,65.25,25200,1.13,Business,6087
Maharashtra,Mumbai,General,Hindu,74.05,26086,1.04,Business,11322
Maharashtra,Nagpur,ST,Christian,81.22,50486,0.8,Unemployed,3842
Maharashtra,Mumbai,General,Hindu,65.16,64003,0.88,Daily Wage,11653
Maharashtra,Pune,SC,Hindu,64.44,46619,0.86,Unemployed,10783
Rajasthan,Jaipur,General,Hindu,69.4,10000,0.85,Service,6624
Maharashtra,Mumbai,OBC,Hindu,67.47,16283,1.11,Agriculture,5966
Uttar Pradesh,Lucknow,OBC,Hindu,55.7,28399,0.96,Business,1765
Maharashtra,Pune,OBC,Christian,84.41,13462,1.07,Business,1623
Rajasthan,Jaipur,SC,Muslim,60.1,20277,1.0,Agriculture,2175
Tamil Nadu,Madurai,OBC,Hindu,71.99,25996,0.96,Business,4792
Tamil Nadu,Chennai,ST,Hindu,56.15,36702,1.02,Service,11749
Tamil Nadu,Madurai,SC,Hindu,75.86,16432,1.16,Daily Wage,8638
Maharashtra,Pune,OBC,Hindu,50.48,32723,1.01,Service,2668
Uttar Pradesh,Lucknow,OBC,Hindu,72.81,25659,0.93,Service,12902
Tamil Nadu,Coimbatore,General,Hindu,65.07,36159,1.03,Unemployed,7492
Maharashtra,Mumbai,OBC,Hindu,73.57,24606,1.04,Daily Wage,12837
Rajasthan,Udaipur,OBC,Hindu,73.07,47192,1.01,Business,996
Tamil Nadu,Chennai,OBC,Hindu,61.71,26597,1.02,Agriculture,7526
Rajasthan,Ajmer,SC,Hindu,66.1,34686,0.96,Unemployed,5537
Maharashtra,Mumbai,SC,Hindu,72.78,26126,1.0,Agriculture,13664
Rajasthan,Ajmer,OBC,Hindu,67.98,31734,1.06,Unemployed,663
Bihar,Patna,OBC,Hindu,78.25,47202,1.08,Service,11541
Rajasthan,Udaipur,General,Muslim,70.21,55229,0.92,Service,744
Maharashtra,Pune,General,Hindu,73.24,43047,0.96,Business,2203
Rajasthan,Udaipur,General,Hindu,75.95,32726,1.16,Unemployed,11836
Uttar Pradesh,Lucknow,SC,Hindu,49.94,16787,1.07,Unemployed,14484
Bihar,Gaya,OBC,Hindu,77.92,44361,1.01,Service,9209
Tamil Nadu,Chennai,SC,Hindu,59.88,21541,0.96,Business,3891
Uttar Pradesh,Varanasi,OBC,Hindu,63.23,49626,0.94,Unemployed,13724
Maharashtra,Nagpur,OBC,Hindu,61.75,30179,0.99,Daily Wage,4709
Bihar,Bhagalpur,General,Christian,64.36,32666,0.97,Unemployed,9450
Bihar,Bhagalpur,SC,Hindu,62.45,27395,0.9,Daily Wage,9132
Uttar Pradesh,Varanasi,ST,Hindu,62.32,13278,0.81,Daily Wage,9977
Uttar Pradesh,Kanpur,General,Hindu,62.82,41798,0.98,Daily Wage,5661
Maharashtra,Pune,OBC,Christian,84.75,47864,0.93,Daily Wage,9067
